gene_name,length
araQ_2,891
yesR,1035
yesS_1,2286
rhgT,696
group_2369,627
yesY,654
group_4126,2574
yteP_1,957
araQ_3,888
lplD,1344
hmoA,324
group_5810,873
yetJ,645
group_8319,504
group_8318,1071
rfbF,765
rfbG,903
group_5807,936
fsr,1230
yfmT,1458
yfmP,423
ybiT_2,1557
yfmL,1131
yfmJ,1020
fecD,1002
yflT,348
yflS,1437
citS,1587
citT,681
group_4892,960
citM,1302
yflN,795
nos,1092
acyP,276
yiiM,666
group_6867,132
yflH_1,315
mapB,750
nagP,1359
group_4885,393
treP,1413
treR,717
ydiN,1200
yfkJ,471
group_5790,828
chaA,1056
yfkD,792
yfkC,837
queE_1,1122
group_8310,186
pdaA,792
mmsB,861
corA_1,960
group_4877,864
rlmCD_1,1401
dus,984
group_5788,552
acoA,1002
acoB,1029
acoR,1818
sspH,180
group_6857,327
group_5787,558
group_5785,315
glvR,765
malP,1584
group_6491,1719
group_5784,1815
catD,405
catE,858
lnrJ,1218
lnrK_1,663
lnrL_1,936
lnrM,1191
group_5782,549
estB,633
yfiT,537
group_6851,483
yfiY,978
yfiZ_2,1002
yfhA,1032
group_8303,111
group_4106,912
recX,792
group_6847,270
group_4101,519
group_4864,393
ephA,861
mutY,1110
fabL,753
group_8298,261
group_5780,531
bcp,474
perR,438
fapR,567
sdhA,903
prpC,765
fmt,954
def1,483
rpoZ,204
remA,270
cysP,1065
pyrF,720
pyrC,1287
pyrR,546
lspA,465
sepF,456
group_6838,693
rl5,837
ylmB_1,1281
ftsW_2,1026
mraY,975
spoVD,1941
ftsL,354
mraZ,447
ylbP,483
rsfA_2,582
group_4081,783
group_5756,399
group_5755,1065
hrp1_1,447
group_4852,363
group_6833,894
caaD,333
ctaE,624
ctaD,1869
ctaB2,918
group_6832,630
group_3362,375
pdhD_2,1413
group_2793,672
group_6827,153
group_4848,822
group_5749,135
ahpC_2,543
dapH_1,711
cysB,882
ykuL,444
ykzF,192
group_6819,519
fadH,765
cheV,912
kinA,1821
group_6817,240
glcT,846
stoA,498
queC,660
group_6811,432
mtnD,537
mtnW,1212
mtnK,1194
ogt,498
ktrB_1,1350
group_6805,978
group_5736,636
ku,885
group_4819,123
guaD,471
ohrB,411
group_4063,516
group_5731,528
arcA,894
oppD_3,1008
spoIISA,747
spoIISB,171
group_5728,264
group_5723,1047
group_5722,426
group_2750,267
group_6463,978
xkdM_1,444
group_5720,441
group_4806,486
group_6797,207
group_5719,360
dnaA_2,636
group_6795,180
xre_1,342
group_8259,597
ydbD_1,837
group_5716,603
yjoA,465
uxaB,1449
exuT,1269
uxuB,837
yjmC,1014
yjmB,1380
yjgB,576
group_4796,900
group_5705,195
metC,1173
group_2298,723
yjcG,516
group_8249,255
group_4792,213
fabI,777
thiD,816
thiG,765
thiS,204
thiO_2,1110
tenI,618
tenA,708
prpE,735
rluD,900
yjbM,636
group_4791,366
group_2293,900
oppF_2,918
oppD_2,1068
oppC,918
oppB,936
oppF_1,990
fabF,1242
fabHA,939
group_6779,222
group_8242,186
group_6778,180
argF,945
carB_1,3093
argD,1158
argB,777
argJ,1221
argC,1038
mdtG,540
dprE1,1431
group_6776,171
sufT,309
group_4786,768
yitU,813
group_4019,147
group_6773,843
yitJ,1839
ymfD_2,1269
yitF,1116
group_4784,675
yitD,759
comB,687
group_4590,807
iolX_1,1035
degA_1,1014
araC,864
yeeO,1368
group_4779,558
wprA,2685
cotH_1,924
gerPA,222
gerPB,234
gerPC,618
gerPF_1,219
cpdA_1,1176
group_4004,1155
pchR_2,219
yodF_1,1470
comK,579
ydaD_2,858
petC_1,1530
hemAT,1299
bioY_1,561
yhfT,1440
pspA,582
group_6759,396
lcfB_1,1590
yhfK,645
group_5683,735
gltT,1290
group_4773,408
ysdC_3,1041
pbpF,2145
hmoB,501
group_5681,1191
group_4770,1227
hit,438
trpP,519
hpr_3,612
group_6753,519
yhaM,945
paaF,768
khtS,318
khtT_1,498
yhaX,867
gshB,1092
yheD,1362
group_8227,210
glpQ_3,732
crcB_2,396
aspC,1182
group_5670,546
sigM,492
yhdL,1074
yhdK,291
phnO,429
group_3281,870
group_6603,1407
group_8222,324
group_6744,243
vraR,648
glpD,1665
glpK,1491
glpP,555
tpa,1338
amiF,1542
cbbY,663
srtD,597
group_5317,438
marR,465
group_7261,1179
group_5316,1896
group_3735,642
crt,783
yngHB,222
cfiB,1335
proC_4,816
gbpA,621
rebO,1437
cdaS,615
bshB2,666
yodB_2,327
group_4145,201
COQ5_2,702
group_8358,126
group_5841,279
ylmB_2,1305
group_5843,387
msrB,435
msrA,534
mepA_1,1338
group_8363,252
ilvA,1269
dfrA,507
thyA2,795
ypjQ_2,534
group_6908,615
group_8365,435
sspL,129
xpt,585
kdgT,993
kdgA,591
kdgK,975
kduD,765
group_4157,246
panC,861
panB,834
ypjD,336
petD,768
qcrB,675
petC_2,504
group_5861,444
group_4946,540
bepA,1272
group_2854,1116
ndk,447
menG,702
mtrB,228
folE,573
hupA,279
spoIVA,1479
gpsA,1023
der_1,1311
fni,1050
ypfD,1149
group_8377,177
sleB,912
prsW,657
ypbG_2,780
group_4950,444
group_4554,1068
resA_1,540
rluB,735
group_6923,540
scpB,594
group_5868,345
group_8382,351
group_5869,453
group_6930,621
sigF,768
spoIIAB,441
dacF,1170
xerD,891
fur,450
mleN,1407
ansA,990
xre_2,351
nudF,558
ftsW_4,1146
ftsW_3,1158
dinB_2,1239
group_5875,207
proC_2,837
pdxS,885
guaB,1467
ilvC,1029
ilvH,519
ilvB,1725
rph,738
racE,816
abf2,1488
carE,978
fadB,777
fadR,585
group_6025,405
group_8511,534
zapA,258
rnhC,942
pheS,1035
rlmB,747
fosA,381
group_8514,330
araP,942
egsA,1185
araD,690
araB,1686
rplT,360
group_7083,267
ydjZ_1,642
dnaI,852
nrdR,459
speH,381
gapB,1023
ytcD,381
ytbE,843
mutM,831
mdh,939
group_7085,465
group_5129,1116
group_4328,384
pfkA,960
accA,978
accD,873
ytrH,342
ytrI,504
group_7088,192
nrnA,942
group_8523,303
gloB_2,684
group_6042,132
argG,1212
moaB,513
ytfJ,456
sppA,1008
acsA_2,1590
iscS_1,1146
rpsD,603
group_7093,129
tyrS1,1269
acuA,633
motB_2,711
pomA_2,819
ccpA_1,1005
aroA,1077
group_3618,327
group_6048,423
sftA,2880
group_8527,606
group_8528,810
ytpP,324
group_7097,318
maeA_1,1701
ytnP,846
trmB,642
group_3624,798
group_5138,915
ytzE,222
murJ_1,1635
araQ_4,882
bioK,1347
melD,912
bceA,762
graR_3,705
ytrB_1,879
ytrA_1,393
group_7107,273
rsmH_1,585
ytpA,780
yrdA,516
proY,1392
nrtC,783
menB,819
cotI,1062
sucD,903
fliE,327
group_5626,753
cheY_1,363
group_3934,660
flhB_2,1083
ylxH,891
rpsB,741
nusA,1119
rplGA,303
pgdA,960
asd,1041
ask,1215
tepA,726
group_3944,1287
fabG_1,729
recA,1047
ymdB,795
spoVS,261
tdh,1044
ymcA,432
group_3949,558
betI_3,618
acpK,249
pksI,750
aprX,1329
group_8206,453
ebrA,318
miaA,945
hfq,222
group_8208,231
nrdF,990
group_5645,234
sspN,147
tlp,252
group_3965,126
bicA_1,1437
panS_1,960
amiE,1326
group_8535,1368
ybbH,852
murQ,918
group_8537,483
group_6382,456
sigW,564
rsiW,627
cdaA,822
glmS,1803
group_3769,2622
ybfK,885
group_8553,534
dedA,489
psd,810
group_5171,279
group_2994,1338
group_6081,969
gamP,1896
gamA,750
gamR,708
ilvE,1203
rocC_1,1413
mmuM,948
glsA1,984
cheB_1,945
group_6087,927
gucD,1500
gudP,1368
gudD,1368
lutR_1,702
garD,1533
group_7127,693
rcsC_2,936
cwlJ,429
tatAd,213
tatC1,726
pcp,648
csd,1113
emrY_1,1434
yxaF_2,567
estA,639
group_5179,387
cwlK,504
rapJ,1125
ycdF,777
znuC,696
znuB,843
group_7131,996
yceC,600
yceD_1,582
opuAB,849
opuAC,882
scmP_2,1152
group_6101,1434
amyE,1980
ldh_1,963
bmr3_1,1542
group_7133,465
group_7134,762
aroP,1347
group_8565,597
aroK,561
oxyR,975
cah,957
putB,912
group_7137,855
group_6106,903
bphD,855
ycgT,1011
nasF,1446
nasB,2325
nasA,1206
group_5196,198
nin,399
nucB_1,438
hxlB,558
hxlA,633
hxlR_1,363
srfAA,10764
srfAC,3828
srfAD,729
eamA,939
sfp,675
group_7144,648
tcyC,744
tcyB,705
tcyA,807
benM,873
bsdB,615
bsdD,228
dtpT,1479
group_7166,222
gerBA_1,1635
group_3743,1476
srrA_1,798
phrC,123
yclP,759
emrY_2,1425
group_6132,879
nfrA2,750
ycnE,288
group_8593,315
gabD,1389
gdh,786
ycnJ,1626
ycnL,354
mtlA,1437
mtlF,432
mtlD,1122
dmlA,1059
fabZ_2,393
group_7176,165
ycsE,750
mntH_1,1215
group_7177,792
pxpB,723
pxpC,1008
kipR,756
group_7179,246
group_7180,288
mrdA,2007
lcfB_2,1512
ydaD_1,861
ydaE,504
ydaG,423
amj,810
group_6148,291
lrpC_2,435
ydaP,1725
group_6551,267
group_8598,258
group_5223,453
group_7185,819
dcuS_1,1608
dpiA,681
dctA,1266
gltP_2,1239
bcrA_2,927
group_7188,336
ydbM,1146
group_4415,147
group_8601,165
ydbP,321
ddl,1086
murF,1374
cshA,1485
group_7189,480
glpG,600
acpS,366
ndoAI,282
ndoA,351
rsbS,366
rsbT,402
rsbU,1008
rsbV,330
rsbW,483
rsbX,600
yhgF,2160
des_1,1029
group_6165,864
hxlR_2,330
group_7196,873
arsB,1308
arsC,420
group_5239,624
ahpD,444
group_7199,171
lnrK_2,642
brnQ_2,1323
rok_2,447
mneP,894
mhqP,390
group_5243,339
group_4425,369
iolX_2,1026
group_7765,561
vmlR,1629
cycA_2,1377
slyA_5,435
sutR,558
group_6174,726
group_7204,324
group_7205,738
rspR_3,675
group_6218,615
darA,330
group_4480,828
group_6224,339
glmU,1371
prs,954
spoVT,537
murJ_2,1599
hisE,1470
group_8670,261
yabP,303
pnp_2,387
group_7249,738
yabT,1020
hpt,543
ftsH,1914
prsA2,894
pabC,882
folP,858
folB,363
folK,504
group_7255,219
dusB,1002
group_6636,192
comC,747
spoIIB,999
group_6638,696
group_5559,342
rpmA,285
spo0B,579
group_5560,444
pheA,879
safA,1161
coxA,600
group_4652,123
iolG_2,1026
bofC,513
ruvA,606
ruvB_1,1005
group_8162,201
queA,1029
tgt,1146
spoVB,1557
khtT_2,498
apt,513
relA,2205
dtd,441
group_2652,765
group_4655,1269
cymR,420
iscS_2,1143
yrrB,651
group_6648,192
group_8166,132
group_8167,1062
alaS,2637
group_8168,267
yrrK,417
group_5568,282
mltG_2,1083
rlhA,930
udk,636
greA,474
mtnN,696
mccA,924
yraA,510
group_4229,408
group_5909,369
group_8422,246
group_5002,732
yqeH,1101
yhbY,291
group_6955,561
rsfS,357
tadA_1,570
group_4992,1206
grpE,564
dnaJ,1128
group_3508,996
group_5898,282
ybeY,474
dgkA,372
cdd,411
era,906
ccpN,642
group_6949,495
group_6948,723
cshB,1317
group_3503,300
group_4979,762
group_5893,483
group_8405,1293
pstA,885
group_4975,354
rpmGA,150
yqgN,564
group_8401,174
comGC,297
gcvPA,1347
gcvPB,1467
lipM,837
group_2891,876
group_6940,534
group_8398,282
group_6938,207
group_5884,402
spoIIIAF,621
accC,1353
group_8397,408
group_4197,1149
glpQ_4,732
mmgE,1419
bfmBAA,993
bfmBAB,984
radA,1434
disA,1083
ispD,699
ispF,477
cysE,654
mrnC,432
group_6122,750
sigH,657
nusG,534
rplJ,501
rplGB,249
rpsG,471
rpsJ,309
rplC,630
rplD,624
rplB,834
rpsS,279
rpsC,657
rplE,540
rpsN1,186
rpsH,399
rpsE,507
rpmD,180
rplO,441
secY,1296
adk,654
map,747
infA,219
rpmJ,114
rpsM,366
rpsK,396
rpoA,945
rplQ,363
ecfA1,846
ecfA2,870
ecfT,798
truA,744
rplM,438
rpsI,393
COQ5_4,768
group_5209,444
cwlD,714
salA,1059
pbuE_2,1167
gmuB,312
gmuA,333
gmuC,1329
gmuD,1398
gmuR,714
gmuE,900
gmuG,1089
ydbD_4,855
