gene_name,length
lnpD,1020
barS1,315
group_6533,765
teaD,447
hutP,447
hutU,1659
hutG,957
rocC_2,1365
pdp,1302
nupC,1182
deoC,672
group_1070,1119
scmP_2,1143
yxeO,750
yxeN,675
scmL,498
ntaA,1326
yxeI,987
yxeF,423
yxeE,366
iolI,837
iolB,816
adhR_1,381
hcaB_2,1074
cidA_1,405
cidB,693
gntR,732
gntT_1,1347
ahpC_1,564
bglA,1440
yydK,711
group_2472,117
tcrX,684
htrB_2,1203
purA,1293
dnaC_1,1365
group_9424,201
group_7973,204
gdpP,1980
group_5224,930
group_10836,150
ppaC,930
group_3227,447
ynfM,1272
yjcF_2,444
group_3230,480
gltR_2,888
group_7979,378
gloB_1,381
slyA_2,453
group_7980,909
ydjE,1356
ssbA,519
rpsF,288
ychF,1101
group_10982,207
group_9444,246
group_6599,1533
tlp,255
group_3241,708
group_5261,807
gerBC_2,1218
group_8006,111
yndB,435
group_9460,402
glgD,1032
ssuB_1,783
dpp5_2,774
ytmB,243
ytpB,1107
rsmH_2,585
graR_3,705
mdrP_2,1194
group_17826,339
group_9477,312
melD,912
bioW_1,735
bioI,1188
yteT,1287
ytzE,222
ytlR,930
group_5280,798
ytnP,846
maeA_1,1701
group_8037,318
acuA,633
thiI,1206
moaB,513
tcyK,861
tcyL,720
ribR,702
accA,978
citZ,1119
rpmI,201
ysdB,393
abnA,972
araA,1491
araD,690
araL,810
group_8071,555
lutA_2,1335
sspI,216
rlmB,747
rnhC,942
polX,1713
mutS2,2358
group_17928,405
fadD,1683
fadR,585
trxA_2,315
uvrC_2,1773
comC,747
mreC,873
minD,807
rplU,309
coxA,651
group_3311,123
bofC,513
ruvA,606
ruvB_1,1005
group_5347,171
mnmA,1116
yrrB,651
group_8104,192
group_9519,132
glnP,657
group_8110,282
trmR,654
group_9112,1269
greA,474
mccB,1140
focB,801
sorA,810
manZ,828
sacC,2034
adhA,1050
csn,837
sigM_1,537
gmuG_1,1098
group_2559,504
axe1-6A,789
group_6725,339
dnaJ,1128
group_9151,996
ybeY,474
dgkA,372
group_5406,723
cshB,1317
group_6736,483
yqgQ,210
group_8172,636
group_1127,471
group_4274,360
sinI,174
gcvPA,1347
lipM,837
group_9579,876
group_11071,282
xseB,255
pta_2,900
pepT_2,1116
mifM,297
dinB_1,1245
dsdA,1335
coaA,960
group_9587,159
yqjY,471
mshD,1032
group_8202,324
yajO_3,921
fur,450
dacF,1170
spoIIAB,441
sigF,768
group_8211,621
group_17987,453
spoVAD,1017
group_17986,351
aes,903
ywnA_1,435
group_8223,255
group_5453,630
group_6797,1329
group_9602,486
ctaE,624
group_8225,894
ftsL,354
group_17864,696
group_6807,669
group_17848,366
ftsA,1323
sigG,783
ylmA,795
ylmC_1,246
PROSC,693
sepF,456
pyrP,1338
pyrB,915
pyrC,1287
pyrF,720
fmt,936
rsmB,1344
rlmN,1092
rsgA,897
rpmB,189
group_17989,363
sdhA,903
rnc,750
group_11100,246
sucC,1158
flgC,453
fliE,321
fliG,1017
fliM,999
cheC,630
cheD,501
tsf,882
dpaB,603
asd,1041
lysC_1,1215
dapA,873
group_11108,213
spoIIIE,2364
fabG_5,729
ymdB,795
group_8282,369
yjcF_1,426
yjcA,357
cotY,489
thiD,816
group_3436,1011
thiS,204
thiO_2,1110
tenA,708
kefB,1845
group_5533,588
group_11125,348
group_6891,537
sdpB,930
sdpC,585
yitJ,1839
group_8298,450
yitF,1116
group_4375,675
yitD,759
sat_2,1170
group_6892,807
norG_1,1446
argO,357
group_9680,558
gerPB,234
gerPC,618
gerPD,183
gerPF_1,219
group_8305,303
sgrR,1728
group_5544,1200
group_8307,1155
group_5545,171
group_4388,363
group_9692,201
yodF_1,1470
bioY_2,561
yhfK,645
group_9699,408
amaA,1191
trpP,519
group_11135,354
group_5559,1134
gshB,1092
yheH,2022
nhaX,501
group_6920,108
glpQ_3,732
crcB_2,396
group_8332,1386
group_9713,261
mutY,1110
group_9717,912
group_17822,111
yddE,882
yfhA,1032
group_9724,942
rhaR_1,945
catE,858
glvR,765
group_5586,558
group_3499,327
acoR,1818
pdhD_2,1377
yfkJ,471
group_17897,216
treR,717
treA,1689
treP,1413
group_8368,393
citM,1302
citS,1629
yflT,348
yfmB,369
yfiZ_1,1002
yfmJ,1020
yfmL,1131
group_8386,447
group_8389,936
group_6967,918
group_6046,1071
yetJ,645
yteP_2,957
lipO_2,1542
group_6159,2574
yesY,654
yesV_2,627
yesU,663
rhgT,696
yesS_2,2286
yesR,1035
yesO,1284
cheB_4,1107
group_17983,543
ydbD_2,570
group_8394,264
group_8395,249
yesE,444
group_2682,375
tycC,2670
dltA_4,9096
bcd_1,1143
dltC_2,270
srfAD_2,702
gltA_1,1578
group_8403,315
purQ,684
purS,255
group_11172,198
group_17948,168
group_2707,990
yojM,588
penP,918
group_8429,681
ykoJ,516
group_7032,138
group_8430,123
ugtP_1,1095
ykoT,1014
ligd,1836
ku,885
group_8434,702
ogt,498
bacF_2,1194
spo0E,258
group_8439,432
pomA_1,813
ykvP_1,1200
stoA,498
group_9768,1095
ptsH_1,267
group_2747,702
group_7055,894
group_17995,456
dapH_2,711
ykuR,1125
group_9779,246
group_5725,522
sasA_2,1287
slyA_6,435
yycN_2,474
mhqN,621
hxlR_2,330
ydhP_3,1170
lldR,693
sigB,789
rsbW,483
rsbV,330
rsbU,1008
rsbT,402
rsbS,366
ndoAI,282
group_17980,165
group_8509,147
ydbM,1146
group_9806,336
group_9807,768
gltP_2,1239
group_7093,1053
dctA,1266
kimA,1824
ydaF,546
COQ5_1,597
ydhF,903
pbp,2007
group_3583,246
kipR,756
pxpC,1008
pxpB,723
mntH_1,1215
ycsE,750
group_17955,165
fabZ_2,393
clcD,597
dmlA,1038
ycnI,615
glcU,864
gabD,1389
gabT,1311
group_9825,315
emrY_2,1419
yclQ,954
yclP,759
yclO,948
group_8533,108
group_1763,456
eamA_2,945
hxlB,558
yecS,681
mnmC,1173
bphD,855
oxyR,975
tmrB,600
group_8552,465
bmr3_1,1539
ldh_1,963
amyE,1980
group_9843,492
group_9844,1434
scmP_1,1152
opuAC,882
opuAB,849
opuAA,1257
yceD_2,579
yceD_1,582
yceC,600
tgnB,996
znuB,843
ycdF,777
iolS_1,933
natB,1161
group_8558,1080
estA,639
ansZ,1134
pcp,648
phoD,1752
cwlJ,429
group_17862,387
group_17891,687
bcrA_2,924
rcsC_2,936
walR_2,693
rtpA,213
lutR_2,702
gudD,1368
gudP,1368
gucD,1500
group_7170,927
glnK,1290
ilvE,1089
gamA,750
gamP,1896
dedA,489
group_8568,399
mpr,939
yhbE,921
group_3607,1254
yveA_2,1620
group_11209,261
csgA,249
yifK,1389
group_2994,1185
group_3611,858
saeR,672
group_4605,978
group_10251,363
group_7188,291
group_9864,114
group_7442,525
group_2288,2616
ndhB,1518
rsiW,627
sigW,564
feuA,954
feuB_2,1005
group_9872,951
gerD,558
salA,1059
rplM,438
truA,744
ecfT,798
rpoA,945
rpsM,366
rpmJ,114
infA,219
map,747
rplO,441
rplR,363
rplF,540
rpsH,399
rpsN1,186
rplE,540
rplX,312
rplP,435
rpsC,657
rpsS,279
rplB,834
rplW,288
rlmG,606
group_9890,750
mrnC,432
cysE,654
ispD,699
yacL,1101
ohrB,411
gdnC,339
group_8611,528
ykfB,1101
oppD_1,1008
xlyA,894
group_9906,264
group_7233,207
group_4636,348
dnaC_3,168
group_4637,837
group_7234,180
group_9912,597
group_9915,378
rapA_1,1131
group_7236,765
uxaB,1449
yjmC,1014
glnQ_2,753
fetB,753
group_3646,813
oleD_1,1179
cotT,237
yppE,375
group_8626,189
kdgK,975
xpt,585
ypcP,891
ypmQ,669
group_7261,387
scoB_2,654
group_7278,279
yhdG_1,1398
citA,1101
phoA_1,1377
nsrR,441
glpD,1665
glpK,1491
glpP,576
srtD,597
yhcR,3582
yhcN,585
group_11309,441
pleD,1080
metQ_2,831
marR,465
group_9987,714
group_8697,930
queG,1161
gmuA,333
ypjD,336
trpA,804
group_5992,735
group_8717,204
fni,1050
ypfD,1149
group_10014,177
ypfA,660
group_17906,405
group_11330,234
betI_2,591
tsaE,477
tsaB,690
rimI,456
moaC,513
tatAy_2,174
dgk,624
resA_2,540
aroD,768
group_8740,444
ypbG_2,780
prsW,657
