gene_name,avg_mismatch,ecotype_size
spoIISA,1.074850299,9
sleB,1.562874251,5
liaF,0.627245509,9
gamR,2.647704591,5
thiO_2,3.761690904,5
bicA_1,5.894568007,5
rapA_2,11.17750214,5
group_7217,2.51817793,6
ybbH,2.645851155,6
hom,16.7383091,6
group_4130,3.300399202,5
nnrD,3.149771885,9
fadB,1.134302823,9
yfmT,3.764756202,9
yhaX,3.707085828,6
group_4454,1.01354434,6
bacB,1.095380667,9
gerAA_1,4.381736527,6
bdhA_2,2.79384089,5
lacF,3.643783861,5
group_8535,5.748075278,6
ytrI,1.163316225,9
nusA,1.501211862,9
ytpA,4.438907898,6
nrtC,1.826062161,6
thiM,4.327844311,6
gudD,5.718135158,6
petC_2,0.175862561,9
ftsE,0.826632449,9
salA,3.369546621,5
emrY_2,2.985600228,5
prs,0.683989165,5
lnrL_1,2.19724836,6
iolJ,6.334830339,5
ftsW_4,3.670302253,9
pgdA,1.539064728,5
kinA,1.614342743,5
feuC_2,2.390718563,9
ylxH,2.859566581,9
rex,1.988095238,9
dapH_2,1.032292558,9
group_8482,2.868762475,9
yerB,6.535643,5
oppC,1.190048474,6
rfbF,1.280367836,9
glsA1,3.955161106,6
group_8319,1.683276305,6
hisD,10.82235529,6
truA,1.25534645,9
group_6678,3.129883091,6
group_6122,1.063159395,9
icaB,6.098018249,5
atpB,0.627459367,5
cwlK,1.4928714,9
group_6081,1.609138865,5
fadA,3.55809809,9
group_5239,4.040561734,9
rlmB,6.372469347,5
fnr,1.580553179,6
group_4655,9.29027659,5
kdgA,1.055032792,6
pxpB,3.691616766,6
ydbM,3.106287425,6
group_4480,2.123253493,6
yflS,2.872112917,6
tgt,2.493798118,5
mrdA,8.148061021,5
ngcF,3.000285144,6
cbbY,1.136726547,12
yxiM,6.854719133,5
group_7177,3.421228971,9
yxdM_1,41.25213858,5
hpr_3,1.290205304,9
fapR,2.491017964,9
yhaM,1.333832335,6
pxpC,2.191260336,5
gudP,2.897063017,9
group_4126,30.55838323,5
yjcG,2.133162247,9
pchR,1.098445965,9
petC_1,6.310165384,5
katE,6.708155118,5
rpsC,0.583689763,9
yrdA,3.096093527,1
iolX_2,4.694610778,9
hlyB,17.5040633,5
thyA2,2.784858854,9
group_4907,1.665098375,5
rsmG,2.059951526,9
emrY_1,3.130025663,6
gshB,5.524736242,9
hisE,5.041844882,5
group_8318,5.532648988,6
nfrA2,2.796621044,5
group_8324,1.993156544,6
radA,3.599942971,6
rfbG,2.19831765,9
oppB,2.781579698,6
yesR,10.76190476,5
dapH_1,1.837040205,9
liaS,1.006629598,9
yfiZ_2,2.151268891,9
tyrS1,2.787995438,5
aprX,6.47790134,5
ywlC,3.326347305,9
mmgE,5.075420587,9
hisH,2.177145709,9
ywaD,5.890932421,5
group_3903,2.429141717,6
rsmH_1,4.986241802,9
dhbA,2.648702595,9
nos,4.501140576,5
group_4063,2.365697177,9
group_6884,4.528300542,9
pucB,2.048331908,9
mepA_1,3.460222412,5
crt,3.278799544,9
fadM,1.987311092,5
pdaA,3.288423154,5
nudF,1.383732535,6
yfmL,10.68434559,5
scoA,3.598517251,6
spoVD,14.37389507,5
group_7185,2.754776162,5
yveL,1.385585971,12
group_2994,17.58704021,9
degV,3.48396065,6
asd,0.97005988,5
mntP,0.739021956,9
yxeB,15.12040205,9
ycdF,4.653478757,5
mnmE,4.495437696,9
dnaJ,3.455018534,5
dtpT,5.194682064,5
cycA_2,3.924436841,6
gabD,7.065939549,6
hisI,12.95487596,9
group_6463,11.0687197,6
alaS,13.06216139,5
qoxA,1.641360137,9
yutF,3.243299116,12
liaH,1.212075848,9
group_5817,1.471271742,9
spoIIB,1.655831195,9
gdpP,2.747790134,5
tenI,0.977758768,9
mapB,3.828628457,9
srlR,1.521884802,5
qoxC,0.907684631,6
yrrB,8.733319076,9
group_5626,2.413530083,9
argB,2.23110921,6
yesS_1,16.08632735,5
rapJ,5.526946108,5
hutI,11.57684631,6
ydbD_4,3.035714286,6
scoB_1,1.539136014,9
dhbB,6.20651554,6
benM,10.53585686,5
pucA,2.921656687,6
lnrM,5.952879954,5
cwlD,1.981180496,5
yjbM,1.71899059,9
ftsH,2.409324209,5
group_6930,0.711434274,9
mnmG,5.978329056,5
tgl,1.447177074,5
fabHA,2.962432278,5
gbpA,1.614200171,9
xylB_1,7.400057029,6
group_5021,2.546407186,5
group_8511,0.374108925,9
yohK,2.679783291,9
group_7144,1.635657257,9
glpX,1.606216139,9
group_5784,4.510407756,5
group_5790,2.348089535,6
sdhA,2.528371828,6
bsdB,1.708511548,9
yjmC,8.224907328,9
ychF,2.447818648,5
nrnA,1.752637582,5
spoIIIAF,2.424294269,9
nagR_1,1.512332478,5
mmsB,4.223695466,6
lnpD,7.399486741,5
nmoA,5.706444254,5
gdh,3.204163102,5
argC,1.947034502,9
ypfD,1.525591674,5
pksI,5.624750499,5
gmuC,3.666096379,6
group_3281,3.181565441,5
licT,4.853008269,6
yesY,4.434987169,9
prpC,1.495651554,9
yiiM,3.423937839,12
argG,4.091388651,5
iolB,6.537924152,18
gmuG,5.308240662,5
ywqC_2,1.652480753,6
ydbD_1,1.48289136,6
group_4717,2.531508412,5
livF,3.967065868,9
tcyC,1.723410322,9
kdgK,2.337396635,5
thiE,2.162175649,9
fmt,3.4607927,6
spoVB,4.433062447,5
group_5780,0.511548332,9
bshB2,1.646350157,6
yflN,5.071785001,6
yfmJ,5.028371828,9
glpK,3.45473339,5
ydjZ_1,1.498716852,9
pdxS,1.205660108,6
group_8528,1.198032506,6
acdA,5.635015683,9
licC_2,10.142073,9
spoVT,1.210935272,12
dnaA_1,3.609424009,6
group_7196,4.850014257,6
ruvA,0.849657827,9
thiD,2.703165098,6
tpa,4.261334474,12
tcyB,0.838822355,9
group_4892,2.348802395,5
adk,0.386583975,9
group_6908,2.353435985,9
proC_2,1.467065868,5
group_6101,9.857784431,6
pucR,4.591602509,1
rsbU,5.904049045,6
uvrB,15.79605076,5
noc,2.552537782,6
wprA,8.696464214,5
iolC,3.462289706,9
yesO,4.670587397,6
ganA,3.843099515,5
pbuG,5.464428286,6
capA,5.087254063,5
group_5807,1.854790419,6
argD,2.195252352,9
iolA,25.89285714,6
hisZ,2.315583119,6
gmuD,3.283718278,6
ccpB_2,5.667878529,5
ydbD_2,1.067080125,9
chaA,2.717279726,9
htpG,5.019888794,5
dnaN,2.459224408,9
dpiA,1.892785857,5
sacX_2,2.108996293,5
cynR,1.355717137,6
fadH,2.084188765,5
group_4106,4.024379812,6
dus,7.980681494,5
thrZ,32.41360137,5
exoA,1.754205874,9
group_8259,1.080268035,9
licC_1,3.95330767,6
dnaA_2,1.152552039,9
nupG,2.630952381,6
group_5782,2.632663245,12
pcrB,3.119903051,6
thiG,1.825848303,9
tcyA,1.355859709,5
group_6923,1.078913601,5
group_6670,1.884231537,6
pucF,3.326846307,5
lnrJ,11.63216424,6
era,1.413743941,5
srtD,1.877744511,9
uvsE,1.788066724,9
uvrA,5.327986883,5
dhbE,16.25413459,6
gmuE,3.654975763,6
gmuR,1.96328771,9
licR,7.317507841,1
spsE,5.302965498,5
srkA,7.069218705,9
rocD,6.424508127,6
cimH_1,3.158753921,6
mccA,4.660464785,5
ansA,1.445537496,5
fliD,8.947747362,6
araB,8.21506986,9
murAB,2.629883091,6
sutR,1.295195324,9
comB,0.584616481,13
group_6165,9.253279156,6
pyrR,1.51390077,9
yitU,4.514185914,5
hxlB,2.25427716,9
ctaB2,0.53885087,12
xylP,5.416310237,5
rlhA,3.021100656,6
murJ_1,1.747718848,9
gerBA_1,5.496506986,9
glmS,7.137867123,5
rsfA_2,2.824707727,9
lutR_2,1.344667807,5
mleN,2.811733676,5
glyA,2.893997719,6
sapB,2.081408611,9
acoB,4.885728543,9
group_5097,2.249714856,6
hpt,0.182634731,6
hcaR,2.184987169,5
rnhC,1.882877103,6
group_7131,3.072711719,6
accA,3.402552039,6
gerBC_2,4.146706587,6
group_8565,2.910108355,9
yqeH,5.331123467,6
folK,1.145138295,9
relA,3.659110351,5
cydA,4.872683205,5
ymfD_2,2.324565155,5
mltG_2,5.243726832,5
comC,7.162460793,5
gapB,0.805531794,5
group_3949,1.532363844,9
nasB,6.5605931,5
cfiB,4.122469347,5
srfAC,19.82869974,5
rsiW,1.220986598,9
group_6819,1.130025663,6
spoIVA,3.76532649,9
ypbG_2,2.221271742,5
group_8405,1.483176504,5
araC,1.609923011,6
ywdJ,2.071428571,5
bcrA_2,2.542486456,9
pglF,7.067365269,5
wecD_1,2.015611634,6
dfrA,1.675577417,9
graR_3,1.950883946,9
group_6833,6.489734816,5
group_2472,3.335186769,9
yjgB,2.409965783,9
murF,6.838394639,5
xerD,1.853008269,9
araQ_4,5.602651839,6
ydjF_1,1.47932706,9
miaA,2.810379242,5
scrK,6.23396065,5
murQ,3.736669518,6
hxlA,1.146635301,9
murJ_2,5.825990875,5
lutR_1,4.029298546,9
pheS,2.21578272,9
yhdL,1.503350442,6
walK,5.620402053,5
acoA,8.29098945,6
ilvH,2.307884232,9
hmoB,1.056244654,9
group_5731,2.74714856,6
cysJ,5.47718848,5
iolU_2,4.831408611,5
accC,1.654690619,6
citS,7.052181352,1
maeA_1,8.54526661,5
group_7127,1.948460222,9
yfhA,3.939264328,5
pfkA,2.146991731,9
rlmCD_1,6.575919589,5
menB,2.323424579,6
fabL,1.557171372,6
group_6007,1.685201027,12
scpB,1.574066153,9
yecD,2.620901055,9
yraA,1.042201312,9
group_4770,9.167949815,5
lipA,1.731679498,5
pyrG,5.958867978,5
upp,2.279013402,9
nasA,3.535072712,6
ywrD,13.64193042,5
arnC_1,2.610493299,6
azoR2,1.624465355,9
sigW,0.595451953,9
msrA,0.267607642,9
rocF,2.767322498,6
mtlA,4.256130596,1
aroK,2.513686912,9
purN,1.901696607,12
bphD,5.99108925,9
group_2891,1.584260051,6
araD,2.424579413,9
treR,2.303535786,5
pelC,4.368619903,9
moaB,3.231750784,9
epsG,2.643641289,5
priA_3,1.887082977,9
srfAD,2.517678928,9
sacY_2,1.185058455,5
group_8172,0.758269176,9
yitD,0.957727402,5
pyrC,19.33019675,6
patA,4.154904477,5
glmU,2.312232678,5
acsA_2,3.47041631,5
rpoE,0.52637582,1
rbsB,3.533219276,6
estA,2.716424294,6
pucK_1,23.48702595,6
gerAB,13.20544625,9
acoR,6.745580268,5
ddl,2.005275164,5
pepT_1,4.697034502,6
menG,2.123467351,6
yvmC,1.361847733,9
rbsC,1.237239806,5
ccpA_1,2.592529227,6
pspA,2.740590248,12
gntT,8.73716852,5
guaB,6.035856858,9
fabI,1.932420873,9
group_6980,0.757627602,6
ybfK,7.872469347,9
srrA_1,10.06401483,9
group_6638,1.068577131,6
comR,3.713145138,9
group_8167,2.225976618,6
cssR,0.692828628,9
group_4946,0.324280011,6
moaC,1.465497576,6
araR,3.126960365,5
mtlD,5.116124893,5
yesV_2,8.334759053,9
ynfF,11.03008269,5
csh_1,1.109067579,9
dcuS_1,3.76033647,6
petD,3.325848303,6
mtnN,1.2000998,5
mneS_1,8.72326775,9
yetJ,0.78136584,9
opuE,3.413458797,6
purM,4.009837468,9
carB_1,8.330553179,5
ctaD,4.853008269,5
araP,5.299971486,6
tuaH,3.383019675,5
nasF,14.53015398,9
moaA,2.99964357,9
trpP,0.929569433,9
dctA,3.29063302,5
betI_3,5.001853436,9
ldh_1,1.4714856,5
group_6174,3.211576846,6
gpsA,30.39620758,6
group_6955,1.650841175,9
araQ_2,3.390504705,5
amyE,7.515540348,5
nrdF,1.563088109,6
estB,1.584830339,9
motB_2,0.535215284,9
yhgF,11.53628457,9
rplJ,1.681708013,9
gltT,1.091032221,5
group_5723,11.892572,5
citT,6.197818648,9
group_7134,2.187482179,6
accD,1.628885087,6
yabT,4.290134018,9
group_5736,0.557599088,9
tatC1,3.015041346,9
yfiT,1.75534645,9
yhfT,22.32848589,5
rebO,8.324493869,5
group_6773,1.129312803,9
pucI_1,2.662389507,9
bmr3_1,6.297619048,5
cydD,5.469560878,5
group_6940,2.251283148,6
group_3186,12.76033647,5
araQ_3,13.28942116,6
yitF,3.214642144,5
group_4004,3.639506701,6
group_4992,4.365055603,9
group_3743,21.89741945,6
group_4979,0.836256059,5
ppaX_2,2.632378101,9
epsF_1,3.537282578,9
ywpJ,5.744510978,6
sigF,1.029084688,9
epsE,3.950741374,6
treP,6.547333904,6
ctaE,3.27459367,9
yceD_1,2.105503279,9
opuCA,3.075420587,6
nagB,1.733532934,9
purL,3.437767322,5
spsA,2.798688338,5
