gene_name,avg_mismatch_rate,ecotype_size
trpA,0.007226858,16
pyrF,0.00723264,14
group_5453,0.006742028,14
group_8611,0.005846587,14
group_4605,0.019523365,14
glnK,0.008139166,14
group_5533,0.00818418,14
murJ_2,0.008392,14
ribR,0.008240577,14
group_4375,0.006329223,15
group_5725,0.019163653,14
citS,0.009748705,14
oleD_1,0.024033764,14
pyrP,0.007497033,14
yecS,0.016085068,14
arnC_1,0.004894353,18
feuA,0.00323445,14
sigW,0.002397819,14
treA,0.005974313,14
group_9724,0.005324427,14
dapX_2,0.005408684,14
besA,0.008201986,14
bphD,0.009354053,14
group_7902,0.005922453,14
iolS_1,0.002647392,15
rnc,0.002132876,29
araD,0.004759185,15
treR,0.006768265,14
moaB,0.005445695,14
group_8172,0.003355375,14
yitD,0.010052101,14
pyrC,0.007750483,14
saeR,0.010759441,19
estA,0.007709433,14
group_7679,0.004901915,14
citA,0.00720111,15
group_3436,0.010506737,14
group_8211,0.004982353,21
acoR,0.014413682,14
amaA,0.012369246,14
group_6599,0.008563181,14
group_9872,0.004915323,14
yddE,0.00714698,14
ytlR,0.007742427,14
ydhF,0.011246856,14
focB,0.009068951,14
pyrB,0.008177893,14
pcp,0.012327171,14
gltA_1,0.020242281,14
axe1-6A,0.012363265,14
yceD_2,0.006046385,14
yesV_2,0.005745027,14
group_9912,0.005653944,16
yetJ,0.013016113,14
group_8429,0.008332278,14
sigG,0.005737523,14
dctA,0.007382075,14
fetB,0.0120159,14
ldh_1,0.00930013,14
srfAD_2,0.007317756,18
pseB,0.002733335,14
tmpC,0.006418378,14
group_9680,0.007364967,14
yvcJ,0.003370232,14
tmk,0.010464845,14
sorA,0.009660088,41
yitF,0.010308498,14
priA_1,0.006660022,14
ywpJ,0.014030167,14
sigF,0.004286737,16
treP,0.007940059,14
ctaE,0.008517416,15
yceD_1,0.006457773,14
group_7914,0.013560859,14
ypmQ,0.012444451,18
spsA,0.010993656,21
