gene_name,avg_mismatch,ecotype_size
ywqD,7.43936798,14
group_7739,15.87892633,16
araL,23.56501047,14
ypcP,6.525604417,21
opuAC,6.491338283,14
tuaC,6.553588426,14
group_6369,3.908242909,14
ppaC,4.20350276,14
purQ,7.785075195,14
ligd,22.15667238,14
opuAA,5.770607272,14
group_8434,4.093089663,21
cheC,4.392156863,18
epsM,13.51551494,16
ydjE,18.44736341,21
ku,9.177993528,14
yhfK,7.478583666,14
dgk,3.715591091,18
melD,11.51894156,14
cysE,3.001142204,14
feuB_2,8.087759376,18
rplB,2.902341519,14
gltR_2,8.464306111,14
group_9844,16.7178755,14
group_4637,9.58709309,14
yteP_2,12.128498,14
ytnP,8.697696554,14
glcU,7.768513231,14
acuA,4.221397297,14
rmlD,8.659623073,14
epsL,6.0683419,14
group_9717,7.694650676,14
rocC_2,14.59337521,14
aroD,5.752522368,14
bioY_2,4.580620598,14
prsW,3.325147535,14
modB,5.836093661,14
cheB_1,8.845802399,14
group_5406,5.518560822,14
rlmG,2.422425281,16
fadD,18.8878736,25
tcyL,6.730820484,19
csn,8.862935465,14
group_6292,1.650295069,14
bacD,12.84142395,14
liaR_2,3.613363792,16
bcd_1,9.780506377,16
uvrC_2,13.46164097,14
xpt,3.950504474,14
glnQ_2,3.00076147,14
pdhD_2,21.58328574,14
fadR,3.289358462,14
mutY,8.980011422,18
livH,11.20750048,26
trxB,12.41842757,14
rsmB,14.17799353,14
hutU,26.62973539,14
rfbB,10.16847516,15
mdrP_2,14.04016752,14
ispD,3.997715591,20
yesU,5.046068913,14
cysL_1,6.786978869,14
group_4928,4.965924234,14
tgnB,15.49457453,14
ftsA,2.965543499,15
ymdB,3.267275842,25
cidB,10.42204455,14
ydhP_3,22.42280602,14
group_5559,9.351989339,25
ssuB_1,3.862935465,14
ruvB_1,7.31448696,21
yxeI,7.652008376,14
mreC,3.243670284,16
group_7170,5.027412907,25
glpP,2.967827908,14
hcaB_2,10.86617171,14
group_2747,8.407386255,18
group_17921,7.621549591,15
cpdA,26.76565772,14
oppD_1,8.838949172,37
ydaF,8.00076147,40
rhaR_1,10.91909385,14
ntaA,11.93603655,20
gamA,12.99676375,14
tenA,8.357509994,21
dapF,6.405482581,14
group_6482,3.663620788,14
yhdG_1,7.265752903,14
yifK,9.749286122,14
thiO_2,8.301541976,14
group_6451,11.83323815,14
norG_1,14.02246335,14
group_9366,8.020178945,14
PROSC,1.750999429,14
yxdM_2,16.53835903,14
tcyK,8.198933943,14
gudD,20.73405673,19
gntT_1,11.53683609,14
salA,5.226537217,14
dltA_4,60.10146583,14
bioI,21.45136113,27
rapA_3,16.33771178,14
group_9987,5.183514182,14
albG,7.104892442,14
trmR,3.105463545,21
yfiZ_1,8.120121835,20
dapH_2,3.310489244,29
thiO_1,24.4176661,20
dapA,2.480677708,14
albE,12.12335808,32
rapA_1,2.419950504,14
metQ_2,7.770226537,15
group_17891,3.039786789,14
group_17885,4.48124881,14
group_7980,6.345516848,14
truA,4.158576052,14
atpB,1.93241957,14
aes,7.943460879,14
mrpD,9.693698839,21
tsf,5.584047211,14
fadA,10.42470969,14
pxpB,8.416523891,14
ydbM,8.054064344,15
gbsB,7.695983248,14
yxeO,6.016942699,14
clcD,9.499714449,16
ngcG,5.161050828,20
yojM,6.694269941,16
bacA,4.436512469,16
amiC,12.27736532,14
group_6533,2.488863507,14
queG,4.490576813,14
yxeN,4.087759376,18
gudP,13.64782029,14
yteT,13.38587474,20
rpsC,0.980011422,14
gerPC,2.884446983,16
group_9238,3.730630116,14
hutG,14.62402437,14
group_8697,7.986483914,14
gshB,5.936036551,18
iolI,6.390633923,14
yesR,15.22977346,21
gamP,19.80563488,14
group_17853,3.175138016,14
ywlC,6.851132686,14
group_5143,5.04702075,14
scoB_2,4.952788883,18
yesS_2,26.97049305,21
pdp,8.274129069,14
dhbA,4.73329526,14
glgD,8.621549591,14
yceC,3.573957738,14
yfmL,17.69807729,14
yveA_2,12.66457263,14
nupC,11.059585,15
ycdF,6.039215686,14
mpr,6.189034837,14
dnaJ,6.284408909,14
group_6891,4.102988768,12
srtA,5.550923282,14
gabD,16.70416905,15
group_3241,4.036360175,29
group_17863,0.954121454,14
gdpP,8.050637731,14
yrrB,7.491909385,14
aldH1,13.86598134,14
rsmH_2,5.908052541,14
ghrB,5.159908624,14
lysS,12.47687036,14
yodF_1,16.78488483,14
group_2559,7.217589949,14
group_5544,15.87664192,14
phoD,7.439558348,14
sdhA,5.938701694,15
group_3646,17.51246907,26
yjmC,19.30420712,18
group_5586,11.64249001,14
ychF,9.694460308,14
yvqK,5.976204074,39
group_6892,13.41956977,15
lnpD,7.808490386,16
est,4.527317723,14
ypfD,3.234532648,14
lipO_2,17.33695031,14
group_17864,5.040548258,14
yesY,11.21511517,14
group_8307,13.04435561,14
gabT,18.54007234,14
ywqC_2,4.107557586,14
natB,13.87454788,14
group_7236,5.050066629,14
yajO_3,17.78926328,14
ylmA,3.887492861,20
livF,3.584427946,16
sdpC,3.095183705,16
group_8071,2.895107558,14
kdgK,5.336379212,14
fmt,9.614315629,16
yhcN,1.924043404,14
yfmJ,15.92708928,14
mutS2,14.44698268,14
group_6505,3.704930516,14
ruvA,4.401294498,16
thiD,8.372929754,41
mnmC,8.752712736,14
sdpB,8.826765658,18
rsbU,6.019417476,20
rfuD,6.680753855,14
ypfA,2.770416905,14
ywaC,9.773843518,14
yesO,13.82562345,14
spoIIQ,1.328954883,16
ywmB,2.400723396,14
bglA,29.04683038,14
group_9768,10.3241957,14
secA,22.40852846,30
ywqC_1,2.568817818,16
ydbD_2,5.779364173,14
pomA_1,8.814391776,18
dnaC_1,9.22482391,14
rcsC_2,7.78983438,14
group_5224,2.240624405,20
mnmA,5.072910718,14
group_9807,4.416143156,14
yvdM,10.59546926,14
thrZ,22.27489054,14
ftsX,5.147725109,19
srtD,3.809822958,12
ykfB,14.50923282,14
lldR,3.679802018,14
licR,17.39786789,14
group_8389,3.710260803,14
nhaX,2.059965734,14
cimH_1,20.05520655,14
cdgJ,7.329525985,14
coaA,3.71197411,14
sigB,5.256234533,14
bcrC_1,3.111174567,14
ykoJ,2.107367219,29
yclO,4.61869408,14
hxlB,6.001142204,14
lutR_2,7.697696554,14
hcaR,4.323053493,16
ilvK,7.733866362,14
group_2707,9.241195507,14
rnhC,6.974110032,14
accA,5.30858557,14
polX,9.86845612,14
adhA,10.48220065,14
gntR,4.95888064,14
cydA,10.9392728,14
sasA_2,11.0432134,15
rsiW,2.579668761,14
ypbG_2,6.411003236,14
ykuR,6.554920998,14
bcrA_2,9.717685132,14
group_7093,3.324957167,14
cimH_2,8.284028174,14
mccB,7.839520274,14
fliG,3.137064535,14
araA,13.93241957,14
pbp,16.36341138,14
graR_3,7.886160289,19
trpA,5.810394061,16
pyrF,5.207500476,14
group_5453,4.247477632,14
group_8611,3.086997906,14
group_4605,19.09385113,14
glnK,10.49952408,14
group_5533,4.812297735,14
murJ_2,13.4188083,14
ribR,5.784884828,14
group_4375,4.272225395,15
group_5725,10.00342661,14
citS,15.88063963,14
oleD_1,28.33580811,14
pyrP,10.03102989,14
yecS,10.95393109,14
arnC_1,3.949743004,18
feuA,3.085665334,14
sigW,1.352370074,14
treA,10.09061489,14
group_9724,5.015610128,14
dapX_2,5.857605178,14
besA,7.234151913,14
bphD,7.997715591,14
group_7902,4.228631258,14
iolS_1,2.470017133,15
rnc,1.599657339,29
araD,3.283837807,15
treR,4.852845993,14
moaB,2.793641729,14
group_8172,2.134018656,14
yitD,7.629545022,14
pyrC,9.974871502,14
saeR,7.230344565,19
estA,4.926327813,14
group_7679,5.132305349,14
citA,7.928421854,15
group_3436,10.62231106,14
group_8211,3.0940415,21
acoR,26.20407386,14
amaA,14.73177232,14
group_6599,13.1273558,14
group_9872,4.67447173,14
yddE,6.303636018,14
ytlR,7.200456882,14
ydhF,10.15591091,14
focB,7.264229964,14
pyrB,7.482771749,14
pcp,7.988006853,14
gltA_1,31.94231868,14
axe1-6A,9.75461641,14
yceD_2,3.500856653,14
yesV_2,3.602132115,14
group_9912,3.375404531,16
yetJ,8.395393109,14
group_8429,5.674281363,14
sigG,4.492480487,14
dctA,9.345707215,14
fetB,9.047972587,14
ldh_1,8.956025128,14
srfAD_2,5.137064535,18
pseB,2.747001713,14
tmpC,6.931848468,14
group_9680,4.109651628,14
yvcJ,2.992766038,14
tmk,6.687035979,14
sorA,7.824671616,41
yitF,11.50428327,14
priA_1,4.915096136,14
ywpJ,12.03788311,14
sigF,3.292213973,16
treP,11.21930326,14
ctaE,5.314867695,15
yceD_1,3.758423758,14
group_7914,8.014467923,14
ypmQ,8.325337902,18
spsA,8.47610889,21
