gene_name,length
est,741
csoR,306
copZ,210
copA,2415
cysI,1722
feuB_1,1062
feuC_1,1011
yknX_1,1194
yknY_1,690
yvrL,393
sigO,573
rsoA,234
walR_2,720
fabG_2,792
btuF,954
hmuU,1065
yvqK,642
group_5604,1272
liaH,678
liaF,732
liaR_1,636
gerAC,1119
gerAB,1104
gerAA_1,1443
group_14326,186
group_5606,333
group_14369,258
group_7530,141
fadA,1176
rnmV_1,354
group_8858,321
metQ_1,819
group_6461,372
sufU,444
thiO_1,1125
msmE,1269
ngcF,879
ngcG,900
frlD,855
bsn,873
trpD_1,1041
pucF,1242
tetA_1,1197
group_6467,636
group_4768,291
sigW_1,549
pucR,1596
allB,1344
yhhS_2,1167
group_8868,822
mggB,1389
lytH,981
group_3250,639
yutD,276
group_5613,435
hom,1320
thrC,1068
group_7544,327
padC,513
yjlD_1,1068
group_6473,1224
group_6397,321
pepA,1500
group_5617,1329
group_7547,186
besA,861
dhbC,1248
dhbE,1629
putR_1,1272
yueD,732
group_8873,531
group_5624,1104
gerPF_1,222
group_6480,249
yueI,399
cdgJ,1233
group_7553,360
mrpG,375
mrpF,285
mrpE,477
mrpC,342
mrpB,432
mrpA,2421
group_5628,216
cimH_2,1341
rfuD,960
group_5630,1047
mglA,1533
tmpC,1080
sbnD,1059
dinG_1,618
kapB,387
patB,1164
lrp_1,501
adh2_2,1173
group_7561,405
group_6488,987
mstX,261
group_5637,678
group_5638,1290
group_4786,399
pnoA,1026
ydjF_1,771
yhbO,525
glgB,1881
glgC,1140
glgD,1032
cotSA,1230
strE_2,948
pchA,1416
mntA,927
mntB,753
group_6501,159
ythB,1047
group_4803,153
nrtC,783
dpp5_2,774
proY,1407
ytrE,696
ytrF,1314
bceA,762
group_5655,333
group_2610,900
bioW,777
bioK,1344
bioF,1173
bioD1,702
opuD,1536
murJ_1,1608
rsuA,720
ytzE,222
pbuO,1308
cysK_1,939
trmB,642
group_6519,447
pheT_2,606
pomA_2,822
IMPDH_1,645
acuA,633
gltR_3,882
msrC,483
yttP,624
hisK,810
group_7577,684
ytfJ,441
group_6527,132
fabG_5,813
IMPDH_2,1320
group_14343,303
ytrI,504
ytrH,342
pfkA,960
group_7580,393
group_6098,1116
citZ,1119
icd,1272
mdh,939
mutM,828
ytaF,633
ydhP_1,1197
gapB,1023
group_7583,633
lrgB,696
egsA,1185
araN,1302
araP,942
araQ_4,843
cstA,1797
fosA,384
cdaR_2,1155
sspI,213
pheT,2415
rnhC,942
group_7586,534
group_14333,405
fadD,1689
fadR,585
fadB_2,777
etfB,774
etfA,978
trxA,315
uvrC_2,1773
sdhC,609
frdB,762
group_6551,438
gerM,1086
ysnE,456
leuB,1098
hemA,1368
ccsA_2,831
hemL,1293
comC,747
mreD,519
rplU,309
spo0B,579
obg,1287
nadB,1569
nadC,861
safA,1218
coxA,609
gamR_1,735
chiA1,1782
ruvA,606
ruvB_1,1005
group_14380,201
spoVB,1557
comN,297
secDF,2220
khtT_2,498
hisS,1275
glnQ_2,729
mltG_2,1104
zipA,699
mtnN,696
mccB,1140
group_6572,369
focB,801
adc,747
group_2184,825
yqeH,1101
yhbY,291
group_6580,561
rsfS,357
comEA,624
dnaJ,1131
rsmE,771
clpP_2,1317
group_6583,435
group_8917,282
dgkA,378
glyQ,888
ccpN,642
yqfL,813
cccA,363
group_6587,678
cshB,1317
group_5730,882
group_8920,375
ispG,1113
group_7617,483
group_6592,1293
pstC,930
pstA,885
mshA,1128
yqgN,564
yqgQ,204
group_8922,315
group_14378,174
group_4888,639
comGA,1071
comGC,300
group_2676,441
comGG,375
tapA,702
sipW,609
group_8927,795
lipM,837
group_4073,957
ypdF,1062
spoIIIAB,492
group_5750,207
group_8931,339
spoIIIAF,621
group_14383,696
spoIIIAH,642
accB,474
tlyA,846
argR,450
spoIVB,1281
spo0A_1,798
group_4899,1128
lytA_2,303
mmgA,1182
mmgB,852
mmgC,1134
mmgD,1119
mmgE,1434
mmgF,906
pta_2,906
buk2,1086
lpd3,1422
bfmBAA,993
pdhC_2,1263
group_9301,378
epi,429
namA,1017
gloB_1,954
coaA,960
group_4083,390
dinB_2,1239
mciZ,123
nudF,558
ansA,987
punA,816
spoIIAA,354
sigF,768
group_7635,426
group_5764,618
group_7639,345
ribH,465
srrA,723
spoIVA,1479
folE,573
hepS,765
hisC_1,1083
qcrB,675
dapB,804
bshB1_2,711
panD,384
group_7647,171
group_7649,246
group_5788,555
kdgT,993
group_4113,1098
group_6294,258
group_4938,147
ugtP_2,1149
group_7657,435
ypjQ_2,537
thyA2,795
group_7659,507
group_4939,663
group_7660,639
ilvA,1269
group_7048,195
group_6642,129
deoD,699
gerT,456
group_5802,111
hxlR,366
hxlA,633
hxlB,558
recF_2,726
yckB,864
yecS,678
yciB,600
folE2,900
nasE,321
putP,1536
putC,1548
putB,921
cah,957
aroK,564
asbF,792
gabP_1,1335
group_5819,762
group_7695,630
bmr3_2,1536
ldh_2,966
group_6670,474
group_4986,1443
scmP_1,1155
opuAB,849
opuAA,1257
naiP,1206
group_9033,1092
group_4156,801
stiP,1110
yceD_2,582
yceC,600
group_6672,996
znuB,837
znuC,696
ycdF,777
cwlK,504
group_3442,1365
perR_1,438
iolS_3,933
estA,645
emrY,1431
pcp,648
tatC1,726
tatAd,219
cwlJ,429
group_5833,381
group_5834,693
bcrA_2,924
walR_3,777
group_14381,186
garD,1536
lutR_2,702
gucD,1467
group_5838,927
spo0A_2,957
glnK,1293
glsA1,984
ybgB,276
gamR_2,708
gamA,756
wprA_2,2682
group_2780,282
gdh_1,1383
psd,795
dedA,489
group_9037,534
ybfK,873
purT,1155
group_4167,240
glpT,1335
glpQ_1,888
group_9041,261
cypC,1257
group_6681,435
cidA,354
cidB,693
pbuE_1,1173
cdaR_3,1440
rsiW,627
sigW_2,564
group_6685,456
murQ,918
ybbH,852
group_9047,1368
btr,1596
feuB_2,1005
feuC_2,1023
group_5849,960
bicA,1434
tdh_2,819
group_6689,360
spo0M,780
pepE_2,696
group_4185,183
ssuB,768
ssuC_1,834
group_5851,711
group_1874,666
group_7722,93
group_5852,1179
slyA_1,459
ytrA_1,372
ytrB_1,699
srtD_2,594
rluD_1,912
hrp1_1,423
amiF,1539
group_7727,912
tpa,1332
glpP,576
glpF,825
glpK,1491
group_6694,1143
nsrR,432
group_6958,1407
phoA,1377
ydaD_2,870
group_7732,1404
group_5029,1371
rocC_1,1425
rocB_1,1746
yhdK,291
yhdL,1074
sigM,492
yhdN,996
group_5034,105
group_5035,1116
nhaC,1278
yheI,1758
group_7736,213
group_14361,210
yheD,1359
yheD_2,1092
yhaX,867
khtU,1221
khtT_1,498
paaF,768
yhaP,1263
group_9057,180
hit,438
ecsA,744
group_4492,711
group_3468,1104
pbpF,2142
hemE,1056
hemH,933
group_6712,735
yhfK,645
iolA_2,1455
fadB_1,789
petC_1,1533
group_6714,858
group_5866,234
group_7746,201
group_7747,366
ydjZ,624
gerPD,177
gerPC,618
gerPB,231
yisI,174
cotH_2,987
yisK,906
ctaB1,945
group_5873,639
cysH_2,711
group_9065,492
group_7755,198
group_7756,150
yitU,813
group_7757,768
sufT,309
dprE1,1437
argC,1038
argB,777
fabHA,939
dppB_2,951
dppC_2,915
oppD_2,1068
group_5880,663
mltF,711
yjbK,573
group_6727,369
yjbM,636
prpE,735
group_5887,207
thiL,975
tsaE,477
tsaB,690
yheS,1932
tatAy,174
gutB_1,1068
xylP,1398
scrK,966
group_5891,765
group_5089,978
rsiV,858
sigV_1,498
group_7771,183
slyA_8,435
iolT,1422
group_9077,210
ydjP,816
cotA,1542
pbuG,1323
group_9080,552
group_5894,198
purE,489
purC,717
purS,297
purQ,684
purN,588
purD,1269
lrpC_1,423
group_6748,222
gltA_2,1575
gatC,291
group_6753,720
group_7777,249
group_7778,303
group_14334,570
group_6754,543
lplD,1347
group_5111,702
hmoA,324
group_5898,363
rsbRD_3,870
rfbF,765
group_5324,912
group_5114,939
yfmT,1458
yfmP,423
yfmO,1191
ybiT_3,1557
fecD,1002
yfiZ_2,1044
yflT,348
pel,1260
citT,687
group_2839,963
nos,1095
acyP,273
yfkO,666
yfkM,516
ydiM_2,1188
group_5914,336
group_7789,840
chaA,1059
mmsB,879
alkA,864
group_1209,999
sspH,180
group_5128,327
group_1898,558
group_3522,792
group_9103,303
glvR,762
hpr_3,483
recX,792
csbB,954
mutY,1095
group_6778,531
fadD3,1647
yngG,909
group_7805,783
pccB_2,1530
parE,1971
sspN,147
resA_2,558
group_5149,141
hfq,222
group_5939,405
pksI,747
pksG,1263
acpK,249
pksE,2364
tdh_1,1044
pgsA,582
group_5945,792
yflH_1,258
group_6796,729
asd,1041
dpaB,600
dpaA,894
ylmC_2,258
group_3564,1233
rbfA,354
uppS,783
pyrH,723
group_5953,507
sigD,765
cheD,501
cheC,630
cheW,477
cheA,2013
group_6804,423
flgG_3,795
fliJ,444
group_6808,756
fliG,1017
flgC,450
sucD,903
sucC,1158
group_9132,246
rpsP,273
ffh,1341
rnc,750
sdhA,900
sdhB,663
thiN,645
rlmN,1089
def1,483
undec1A,1221
rpoZ,204
sirB,786
sumT,774
cysP,1065
pyrK,771
lspA,465
dksA_1,375
ileS,2763
group_9139,279
sepF,453
group_4343,693
rl5,837
ylmB,1278
sigE,720
spoIIGA,930
group_5967,696
murG,1095
ftsW_2,1122
ftsL,354
rsmH_1,936
rsfA_2,594
group_9143,177
group_7832,780
rsmD,567
group_5980,273
group_7834,450
group_2343,405
group_4354,213
group_6831,1038
hrp1_2,450
group_5193,903
pycA,3450
group_9145,282
group_7837,630
group_6835,207
group_9146,318
typA,1839
ykqA,840
mreBH,1020
group_6841,135
lacC,912
yknZ_2,1194
yknX_2,1134
yknW,687
moaE,474
group_7842,525
thiF,1020
ahpC_2,543
dapH_2,711
group_7848,456
ydbD_1,909
fadH,765
dapX_2,1170
group_5201,804
glcT,846
ccpA_2,966
ykvT,645
group_6849,195
rsbRD_2,840
pomA_1,825
kinD,1500
group_5207,432
spo0E,258
mtnD,534
mtnK,1194
group_7855,168
sspD,195
rsgI,1161
group_7857,639
group_4374,681
arlS,1362
ykoF,615
ykoC,762
ohrA,426
gdnD,318
gdnC,339
group_6861,372
group_5216,327
group_9168,519
ykfC,891
ykfB,1101
oppD_1,1014
dppB_1,927
mhqA,951
spoIISA,747
spoIISB,171
group_3648,441
group_4392,489
yqbD,870
group_6019,801
group_6869,204
group_6870,390
group_6871,168
dnaA_2,738
group_6872,180
group_9175,768
group_421,591
glnQ_1,753
cmk_1,540
oleD_1,1182
group_4400,561
group_692,411
pdaC,1401
group_7867,240
sapB_1,663
group_4401,279
metC,1173
yjcG,624
yjcF,432
rsbU,1008
ndoA,351
wapI,180
group_7876,147
ydbM,1149
group_7877,336
dcuR_2,684
dcuS_2,1608
dctP,1065
ydbD_2,822
group_1669,363
mntH_2,1278
dgcC,852
group_14351,291
amj,810
ydaG,429
ydaD_3,861
tam,597
pbp,1992
group_7886,288
group_9194,255
kipR,768
pxpC,1008
pxpB,738
group_3657,795
mntH_1,1215
pxpA,768
ycsE,750
group_4417,459
group_1960,576
mtlD,1122
mtlF,435
mtlA,1434
ycnI,621
gdh_2,786
glcU,864
gabD,1389
gabT,1308
group_4422,117
group_6891,885
stp,1419
yclQ,954
yclO,948
yclN,951
rapF_3,1149
yxeO,750
yxeM,795
scmL,498
ntaA,1326
yndE_2,1110
gerBC_2,1224
gerAA_2,1650
group_6043,222
group_6044,1749
pip_1,903
group_6896,456
bsdD,228
bsdB,579
tcyB,705
tcyC,744
group_6048,648
sfp,675
hisC_2,1329
gldA,1167
bcr_2,1218
manA,945
manP,1938
yodF_3,1479
group_5260,864
group_7906,459
yhgF,2160
tmk,639
darA,330
group_5271,828
yabA,360
ycfH,768
group_5273,1326
rnmV_2,561
veg,261
ispE,870
yabJ,378
glmU,1377
prs,954
murJ_2,1602
hisE,1488
spoIIE,2490
group_5276,738
hpt,540
ftsH,1920
coaX,741
hslO,876
prsA2,897
pabB,1416
pabA,585
folP,858
folB,363
group_7917,504
group_7918,219
dusB,1002
group_6923,597
cwlD,714
rpsI,393
rplM,438
ecfA1,846
rplQ,363
rpoA,945
map,747
rpmD,180
rpmC,201
rpsG,471
group_7931,516
ydaF,546
yycB_2,1230
ygaZ,726
group_4458,1188
yqiK,1551
group_5286,528
yuaD,582
gbsB,1209
bslA,540
ktrA_2,669
lytG,846
dacA,1326
pdxS,885
sleL_2,1281
entB,549
tadA_2,486
